"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"1",2019-04-01,0,0,0,0,0,0,1,0,0,0
"2",2019-04-02,0,0,0,0,0,0,0,0,0,0
"3",2019-04-03,0,0,0,0,0,0,0,0,0,0
"4",2019-04-04,0,0,0,0,0,0,0,0,0,0
"5",2019-04-05,0,0,0,0,0,0,0,0,0,0
"6",2019-04-06,0,0,0,0,0,0,0,0,0,0
"7",2019-04-07,0,0,0,0,0,0,0,0,0,0
"8",2019-04-08,0,0,0,0,0,0,0,0,0,0
"9",2019-04-09,0,0,0,0,0,0,0,0,0,0
"10",2019-04-10,0,0,0,0,0,0,0,0,0,0
"11",2019-04-11,0,0,0,0,0,0,0,0,0,0
"12",2019-04-12,0,0,0,0,0,0,0,0,0,0
"13",2019-04-13,0,0,0,0,0,0,0,0,0,0
"14",2019-04-14,0,0,0,0,0,0,0,0,0,0
"15",2019-04-15,0,0,0,0,0,0,0,0,0,0
"16",2019-04-16,0,0,0,0,0,0,0,0,0,0
"17",2019-04-17,0,0,0,0,0,0,0,0,0,0
"18",2019-04-18,0,0,0,0,0,0,0,0,0,0
"19",2019-04-19,0,0,0,0,0,0,0,0,0,0
"20",2019-04-20,0,0,0,0,0,0,0,0,0,0
"21",2019-04-21,0,0,0,0,0,0,0,0,0,0
"22",2019-04-22,0,0,0,0,0,0,0,0,0,0
"23",2019-04-23,0,0,0,0,0,0,0,0,0,0
"24",2019-04-24,0,0,0,0,0,0,0,0,0,0
"25",2019-04-25,0,0,0,0,0,0,0,0,0,0
"26",2019-04-26,0,0,0,0,0,0,0,0,0,0
"27",2019-04-27,0,0,0,0,0,0,0,0,0,0
"28",2019-04-28,0,0,0,0,0,0,0,0,0,0
"29",2019-04-29,0,0,0,0,0,0,1,0,0,0
"30",2019-04-30,0,0,0,0,0,0,1,0,0,0
"31",2019-05-01,0,0,0,0,0,0,0,0,0,0
"32",2019-05-02,0,0,0,0,0,0,0,0,0,0
"33",2019-05-03,0,0,0,0,0,0,0,0,0,0
"34",2019-05-04,0,0,0,0,0,0,0,0,0,0
"35",2019-05-05,0,0,0,0,0,0,0,0,0,0
"36",2019-05-06,0,0,0,0,0,0,0,0,0,0
"37",2019-05-07,0,0,0,0,0,0,0,0,0,0
"38",2019-05-08,0,0,0,0,0,0,0,0,0,0
"39",2019-05-09,0,0,0,0,0,0,0,0,0,0
"40",2019-05-10,0,0,0,0,0,0,0,0,0,0
"41",2019-05-11,0,0,0,0,0,0,0,0,0,0
"42",2019-05-12,0,0,0,0,0,0,0,0,0,0
"43",2019-05-13,0,0,0,0,1,0,0,0,0,0
"44",2019-05-14,0,0,0,0,1,0,0,0,0,0
"45",2019-05-15,0,0,0,0,1,0,0,0,0,0
"46",2019-05-16,0,0,0,0,1,0,0,0,0,0
"47",2019-05-17,0,0,0,0,1,0,0,0,0,0
"48",2019-05-18,0,0,0,0,1,0,0,0,0,0
"49",2019-05-19,0,0,0,0,1,0,0,0,0,0
"50",2019-05-20,0,0,0,0,1,0,1,0,0,0
"51",2019-05-21,0,0,0,0,1,0,1,0,0,0
"52",2019-05-22,0,0,0,0,1,0,1,0,0,0
"53",2019-05-23,0,0,0,0,1,0,1,0,0,0
"54",2019-05-24,0,0,0,0,2,0,1,0,0,0
"55",2019-05-25,0,0,0,0,2,0,1,0,0,0
"56",2019-05-26,0,0,0,0,2,0,1,0,0,0
"57",2019-05-27,0,0,0,0,2,0,2,0,0,0
"58",2019-05-28,0,0,0,0,2,0,2,0,0,0
"59",2019-05-29,0,0,0,0,3,0,2,0,0,0
"60",2019-05-30,0,0,0,0,3,0,2,0,0,0
"61",2019-05-31,0,0,0,0,3,0,3,0,0,0
"62",2019-06-01,0,0,0,0,0,0,1,0,0,0
"63",2019-06-02,0,0,0,0,0,0,1,0,0,0
"64",2019-06-03,0,0,0,0,0,0,1,0,0,0
"65",2019-06-04,0,0,0,0,0,0,1,0,0,0
"66",2019-06-05,1,0,0,0,0,0,1,0,0,0
"67",2019-06-06,1,0,0,0,0,0,1,0,0,0
"68",2019-06-07,1,0,0,0,0,0,1,0,0,0
"69",2019-06-08,1,0,0,0,0,0,2,0,0,0
"70",2019-06-09,1,0,0,0,0,0,2,0,0,0
"71",2019-06-10,1,0,0,0,0,0,1,0,0,0
"72",2019-06-11,1,0,0,0,0,0,1,0,0,0
"73",2019-06-12,1,0,0,0,0,0,0,0,0,0
"74",2019-06-13,1,0,0,0,0,0,0,0,0,0
"75",2019-06-14,1,0,0,0,0,0,0,0,0,0
"76",2019-06-15,2,0,0,0,0,0,0,0,0,0
"77",2019-06-16,2,0,0,0,0,0,0,0,0,0
"78",2019-06-17,2,0,0,0,0,0,0,0,0,0
"79",2019-06-18,3,0,0,0,0,0,0,0,0,0
"80",2019-06-19,3,0,0,0,0,0,0,0,0,0
"81",2019-06-20,3,0,0,0,0,0,0,0,0,0
