"","date_time","storage","inflow","withdr","outflow","withdr_req","rel_req","available"
"1",2019-01-01,7470,194.9,70,115.9,70,0,7594.9
"2",2019-01-02,7479,174.3,82.775,91.5250000000005,82.775,0,7570.525
"3",2019-01-03,7479,162,79.55,82.4499999999998,79.55,0,7561.45
"4",2019-01-04,7479,155.5,78.475,77.0249999999996,78.475,0,7556.025
"5",2019-01-05,7479,142,78.475,63.5249999999996,78.475,0,7542.525
"6",2019-01-06,7479,130.1,75.25,54.8500000000004,75.25,0,7533.85
"7",2019-01-07,7479,123.3,76.325,46.9750000000004,76.325,0,7525.975
"8",2019-01-08,7479,8797,78.475,8718.525,78.475,0,16197.525
"9",2019-01-09,7479,2388.5,74.175,2314.325,74.175,0,9793.325
"10",2019-01-10,7479,1276.3,75.25,1201.05,75.25,0,8680.05
"11",2019-01-11,7479,530.8,74.175,456.625,74.175,0,7935.625
"12",2019-01-12,7479,336.3,74.175,262.125,74.175,0,7741.125
"13",2019-01-13,7479,258.8,73.1,185.7,73.1,0,7664.7
"14",2019-01-14,7479,234.9,75.25,159.65,75.25,0,7638.65
"15",2019-01-15,7479,235.3,77.4,157.900000000001,77.4,0,7636.9
"16",2019-01-16,7479,8797.6,76.325,8721.275,76.325,0,16200.275
"17",2019-01-17,7479,964.9,80.625,884.275,80.625,0,8363.275
"18",2019-01-18,7479,565.8,80.625,485.175,80.625,0,7964.175
"19",2019-01-19,7479,401.7,79.55,322.15,79.55,0,7801.15
"20",2019-01-20,7479,317.7,79.55,238.15,79.55,0,7717.15
"21",2019-01-21,7479,284.3,80.625,203.675,80.625,0,7682.675
"22",2019-01-22,7479,252.8,82.775,170.025000000001,82.775,0,7649.025
"23",2019-01-23,7479,956.9,78.475,878.424999999999,78.475,0,8357.425
"24",2019-01-24,7479,2973.7,80.625,2893.075,80.625,0,10372.075
"25",2019-01-25,7479,3233.7,80.625,3153.075,80.625,0,10632.075
"26",2019-01-26,7479,1542.3,80.625,1461.675,80.625,0,8940.675
"27",2019-01-27,7479,911.3,79.55,831.75,79.55,0,8310.75
"28",2019-01-28,7479,7909.8,79.55,7830.25,79.55,0,15309.25
"29",2019-01-29,7479,14608.7,80.625,14528.075,80.625,0,22007.075
"30",2019-01-30,7479,4023.2,79.55,3943.65,79.55,0,11422.65
"31",2019-01-31,7479,1448.1,77.4,1370.7,77.4,0,8849.7
"32",2019-02-01,7479,1012.2,76.325,935.875,76.325,0,8414.875
"33",2019-02-02,7479,688.4,75.25,613.15,75.25,0,8092.15
"34",2019-02-03,7479,644.1,72.025,572.075000000001,72.025,0,8051.075
"35",2019-02-04,7479,1265.3,75.25,1190.05,75.25,0,8669.05
"36",2019-02-05,7479,21146.4,75.25,21071.15,75.25,0,28550.15
"37",2019-02-06,7479,4039.1,76.325,3962.775,76.325,0,11441.775
"38",2019-02-07,7479,1423,75.25,1347.75,75.25,0,8826.75
"39",2019-02-08,7479,967,74.175,892.825000000001,74.175,0,8371.825
"40",2019-02-09,7479,647,75.25,571.75,75.25,0,8050.75
"41",2019-02-10,7479,590.2,75.25,514.95,75.25,0,7993.95
"42",2019-02-11,7479,528.8,75.25,453.55,75.25,0,7932.55
"43",2019-02-12,7479,1032.1,73.1,959,73.1,0,8438
"44",2019-02-13,7479,772,74.175,697.825,74.175,0,8176.825
"45",2019-02-14,7479,591.5,73.1,518.4,73.1,0,7997.4
"46",2019-02-15,7479,503.9,73.1,430.799999999999,73.1,0,7909.8
"47",2019-02-16,7479,478.6,70.95,407.650000000001,70.95,0,7886.65
"48",2019-02-17,7479,538.5,75.25,463.25,75.25,0,7942.25
"49",2019-02-18,7479,1760.5,74.175,1686.325,74.175,0,9165.325
"50",2019-02-19,7479,4049.6,73.1,3976.5,73.1,0,11455.5
"51",2019-02-20,7479,1776.5,72.025,1704.475,72.025,0,9183.475
"52",2019-02-21,7479,989.9,72.025,917.875,72.025,0,8396.875
"53",2019-02-22,7479,704.1,74.175,629.925,74.175,0,8108.925
"54",2019-02-23,7479,621.2,75.25,545.95,75.25,0,8024.95
"55",2019-02-24,7479,2611.9,74.175,2537.725,74.175,0,10016.725
"56",2019-02-25,7479,2807.9,75.25,2732.65,75.25,0,10211.65
"57",2019-02-26,7479,1662.2,79.55,1582.65,79.55,0,9061.65
"58",2019-02-27,7479,878.2,80.625,797.575000000001,80.625,0,8276.575
"59",2019-02-28,7479,667.5,77.4,590.1,77.4,0,8069.1
"60",2019-03-01,7479,584.1,75.25,508.85,75.25,0,7987.85
"61",2019-03-02,7479,518.2,73.1,445.099999999999,73.1,0,7924.1
"62",2019-03-03,7479,507.9,70.95,436.95,70.95,0,7915.95
"63",2019-03-04,7479,496.6,70.95,425.650000000001,70.95,0,7904.65
"64",2019-03-05,7479,439.7,72.025,367.675,72.025,0,7846.675
"65",2019-03-06,7479,410.4,72.025,338.375,72.025,0,7817.375
"66",2019-03-07,7479,374.4,77.4,297,77.4,0,7776
"67",2019-03-08,7479,411.9,75.25,336.65,75.25,0,7815.65
"68",2019-03-09,7479,2815.4,69.875,2745.525,69.875,0,10224.525
"69",2019-03-10,7479,2029,69.875,1959.125,69.875,0,9438.125
"70",2019-03-11,7479,886,70.95,815.049999999999,70.95,0,8294.05
"71",2019-03-12,7479,589.8,75.25,514.55,75.25,0,7993.55
"72",2019-03-13,7479,477.9,74.175,403.724999999999,74.175,0,7882.725
"73",2019-03-14,7479,414.9,74.175,340.724999999999,74.175,0,7819.725
"74",2019-03-15,7479,384.5,72.025,312.475,72.025,0,7791.475
"75",2019-03-16,7479,338.1,72.025,266.075000000001,72.025,0,7745.075
"76",2019-03-17,7479,325.1,79.55,245.55,79.55,0,7724.55
"77",2019-03-18,7479,476.4,80.625,395.775,80.625,0,7874.775
"78",2019-03-19,7479,6254.1,81.7,6172.4,81.7,0,13651.4
"79",2019-03-20,7479,2929.2,78.475,2850.725,78.475,0,10329.725
"80",2019-03-21,7479,17677.7,75.25,17602.45,75.25,0,25081.45
"81",2019-03-22,7479,5000.7,76.325,4924.375,76.325,0,12403.375
"82",2019-03-23,7479,1931.3,76.325,1854.975,76.325,0,9333.975
"83",2019-03-24,7479,975.3,79.55,895.75,79.55,0,8374.75
"84",2019-03-25,7479,674.6,77.4,597.200000000001,77.4,0,8076.2
"85",2019-03-26,7479,580.5,78.475,502.025,78.475,0,7981.025
"86",2019-03-27,7479,526,79.55,446.45,79.55,0,7925.45
"87",2019-03-28,7479,486.3,83.85,402.45,83.85,0,7881.45
"88",2019-03-29,7479,453.5,81.7,371.8,81.7,0,7850.8
"89",2019-03-30,7479,415,78.475,336.525,78.475,0,7815.525
"90",2019-03-31,7479,384.5,80.625,303.875,80.625,0,7782.875
"91",2019-04-01,7479,337,86,251,86,0,7730
"92",2019-04-02,7479,407,90.3,316.7,90.3,0,7795.7
"93",2019-04-03,7479,404.4,92.45,311.95,92.45,0,7790.95
"94",2019-04-04,7479,367,93.525,273.475,93.525,0,7752.475
"95",2019-04-05,7479,416.4,89.225,327.174999999999,89.225,0,7806.175
"96",2019-04-06,7479,358,82.775,275.225,82.775,0,7754.225
"97",2019-04-07,7479,316,86,230,86,0,7709
"98",2019-04-08,7479,288,90.3,197.7,90.3,0,7676.7
"99",2019-04-09,7479,335,89.225,245.775,89.225,0,7724.775
"100",2019-04-10,7479,816,82.775,733.225,82.775,0,8212.225
"101",2019-04-11,7479,641,83.85,557.15,83.85,0,8036.15
"102",2019-04-12,7479,479.3,83.85,395.45,83.85,0,7874.45
"103",2019-04-13,7479,406.8,84.925,321.875,84.925,0,7800.875
"104",2019-04-14,7479,355.4,86,269.4,86,0,7748.4
"105",2019-04-15,7479,324.9,82.775,242.125,82.775,0,7721.125
"106",2019-04-16,7479,428,82.775,345.225,82.775,0,7824.225
"107",2019-04-17,7479,378,83.85,294.15,83.85,0,7773.15
"108",2019-04-18,7479,312.9,86,226.9,86,0,7705.9
"109",2019-04-19,7479,280,84.925,195.075,84.925,0,7674.075
"110",2019-04-20,7479,850.7,86,764.700000000001,86,0,8243.7
"111",2019-04-21,7479,734.9,82.775,652.125,82.775,0,8131.125
"112",2019-04-22,7479,507.3,83.85,423.45,83.85,0,7902.45
"113",2019-04-23,7479,363,82.775,280.225,82.775,0,7759.225
"114",2019-04-24,7479,314.4,80.625,233.775,80.625,0,7712.775
"115",2019-04-25,7479,292.2,83.85,208.349999999999,83.85,0,7687.35
"116",2019-04-26,7479,268.8,87.075,181.725,87.075,0,7660.725
"117",2019-04-27,7479,257,81.7,175.3,81.7,0,7654.3
"118",2019-04-28,7479,243.5,82.775,160.725,82.775,0,7639.725
"119",2019-04-29,7479,227,82.775,144.225,82.775,0,7623.225
"120",2019-04-30,7479,207.5,86,121.5,86,0,7600.5
"121",2019-05-01,7479,195.5,96.75,98.75,96.75,0,7577.75
"122",2019-05-02,7479,190.5,96.75,93.75,96.75,0,7572.75
"123",2019-05-03,7479,572.4,96.75,475.65,96.75,0,7954.65
"124",2019-05-04,7479,1171.3,96.75,1074.55,96.75,0,8553.55
"125",2019-05-05,7479,651.1,96.75,554.35,96.75,0,8033.35
"126",2019-05-06,7479,462.5,96.75,365.75,96.75,0,7844.75
"127",2019-05-07,7479,297.7,93.525,204.175,93.525,0,7683.175
"128",2019-05-08,7479,2118.5,94.6,2023.9,94.6,0,9502.9
"129",2019-05-09,7479,2563.6,95.675,2467.925,95.675,0,9946.925
"130",2019-05-10,7479,1524.6,99.975,1424.625,99.975,0,8903.625
"131",2019-05-11,7479,803.8,95.675,708.124999999999,95.675,0,8187.125
"132",2019-05-12,7479,550.8,97.825,452.975,97.825,0,7931.975
"133",2019-05-13,7479,575.4,95.675,479.724999999999,95.675,0,7958.725
"134",2019-05-14,7479,647.1,97.825,549.275000000001,97.825,0,8028.275
"135",2019-05-15,7479,463.8,97.825,365.975,97.825,0,7844.975
"136",2019-05-16,7479,368.7,99.975,268.724999999999,99.975,0,7747.725
"137",2019-05-17,7479,321.5,99.975,221.525,99.975,0,7700.525
"138",2019-05-18,7479,278.9,97.825,181.075,97.825,0,7660.075
"139",2019-05-19,7479,238.5,101.05,137.45,101.05,0,7616.45
"140",2019-05-20,7479,210.8,99.975,110.825,99.975,0,7589.825
"141",2019-05-21,7479,190.9,99.975,90.9249999999993,99.975,0,7569.925
"142",2019-05-22,7479,159,97.825,61.1750000000002,97.825,0,7540.175
"143",2019-05-23,7479,146.1,93.525,52.5750000000007,93.525,0,7531.575
"144",2019-05-24,7479,132.1,89.225,42.875,89.225,0,7521.875
